ticker,window_start,window_end,strategy,dip_threshold,exit_threshold,source,total_return,sharpe,max_drawdown,trades
KO,2016-08-26,2018-04-22,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
KO,2018-04-22,2019-12-16,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
KO,2019-12-16,2021-08-11,rule_based,-0.08,0.01,yahoo,-0.123,-0.3,-0.357,2
KO,2021-08-11,2023-04-06,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
KO,2023-04-06,2024-11-30,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
KO,2024-11-30,2026-07-27,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
CAT,2015-01-01,2016-08-26,rule_based,-0.08,0.01,yahoo,0.105,0.73,-0.058,4
CAT,2016-08-26,2018-04-22,rule_based,-0.08,0.01,yahoo,0.071,0.64,-0.067,2
CAT,2018-04-22,2019-12-16,rule_based,-0.08,0.01,yahoo,-0.024,-0.05,-0.174,8
CAT,2019-12-16,2021-08-11,rule_based,-0.08,0.01,yahoo,-0.005,0.1,-0.28,6
CAT,2021-08-11,2023-04-06,rule_based,-0.08,0.01,yahoo,0.111,0.56,-0.138,8
CAT,2023-04-06,2024-11-30,rule_based,-0.08,0.01,yahoo,0.035,0.34,-0.067,2
CAT,2024-11-30,2026-07-27,rule_based,-0.08,0.01,yahoo,0.07,0.4,-0.106,5
DIS,2015-01-01,2016-08-26,rule_based,-0.08,0.01,yahoo,-0.033,-0.14,-0.141,4
DIS,2016-08-26,2018-04-22,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
DIS,2018-04-22,2019-12-16,rule_based,-0.08,0.01,yahoo,0.097,1.05,-0.03,2
DIS,2019-12-16,2021-08-11,rule_based,-0.08,0.01,yahoo,-0.181,-0.37,-0.332,2
DIS,2021-08-11,2023-04-06,rule_based,-0.08,0.01,yahoo,0.28,0.84,-0.168,18
DIS,2023-04-06,2024-11-30,rule_based,-0.08,0.01,yahoo,0.0,,0.0,0
DIS,2024-11-30,2026-07-27,rule_based,-0.08,0.01,yahoo,-0.084,-0.29,-0.196,2
